1,2,3
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
8,9,10
3,4,5
4,5,6
5,6,7
2,3,4
2,3,4
7,8,9
4,5,6
1,2,3
4,5,6
5,6,7
3,4,5
9,10,11
2,3,4
2,3,4
